Player,Club,Nation,Age,Market Value
Lionel Messi,Argentina,Argentina,37,€25.00m
Robert Lewandowski,Poland,Poland,36,€15.00m
Cristiano Ronaldo,Portugal,Portugal,39,€15.00m
Karim Benzema,France,France,36,€10.00m
Thomas Müller,Germany,Germany,35,€8.00m
Danny Welbeck,England,England,34,€5.00m
Pierre-Emerick Aubameyang,Gabon,Gabon,35,€5.00m
Joselu,Spain,Spain,34,€4.50m
Wissam Ben Yedder,France,France,34,€4.00m
Michail Antonio,Jamaica,Jamaica,34,€4.00m
Marko Arnautovic,Austria,Austria,35,€4.00m
Ciro Immobile,Italy,Italy,34,€3.80m
Luuk de Jong,Netherlands,Netherlands,34,€3.50m
Dusan Tadic,Serbia,Serbia,36,€3.20m
Olivier Giroud,France,France,38,€3.00m
Iago Aspas,Spain,Spain,37,€3.00m
Ángel Di María,Argentina,Argentina,36,€3.00m
Luis Suárez,Uruguay,Uruguay,37,€3.00m
Florian Sotoca,France,France,34,€2.50m
Yacine Brahimi,Algeria,Algeria,34,€2.50m
Christian Benteke,Belgium,Belgium,34,€2.50m
Alexis Sánchez,Chile,Chile,35,€2.50m
Edin Dzeko,Bosnia-Herzegovina,Bosnia-Herzegovina,38,€2.50m
Edin Visca,Bosnia-Herzegovina,Bosnia-Herzegovina,34,€2.20m
Enner Valencia,Ecuador,Ecuador,35,€2.00m
Andriy Yarmolenko,Ukraine,Ukraine,35,€2.00m
Willian,Brazil,Brazil,36,€2.00m
Fedor Smolov,Russia,Russia,34,€2.00m
Artem Dzyuba,Russia,Russia,36,€2.00m
Ivan Perisic,Croatia,Croatia,35,€2.00m
Raúl Ruidíaz,Peru,Peru,34,€1.80m
Cristhian Stuani,Uruguay,Uruguay,38,€1.80m
Dries Mertens,Belgium,Belgium,37,€1.80m
Eric-Maxim Choupo-Moting,Cameroon,Cameroon,35,€1.80m
Gianluca Lapadula,Peru,Peru,34,€1.50m
Eduardo Salvio,Argentina,Argentina,34,€1.50m
Hulk,Brazil,Brazil,38,€1.50m
Milan Djuric,Bosnia-Herzegovina,Bosnia-Herzegovina,34,€1.50m
Gabriel Ávalos,Paraguay,Paraguay,34,€1.30m
Anthony Nwakaeme,Nigeria,Nigeria,35,€1.30m
Ali Mabkhout,United Arab Emirates,United Arab Emirates,34,€1.30m
Odion Ighalo,Nigeria,Nigeria,35,€1.30m
Islam Slimani,Algeria,Algeria,36,€1.20m
Carlos Vela,Mexico,Mexico,35,€1.20m
José Luis Morales,Spain,Spain,37,€1.00m
Jamie Vardy,England,England,37,€1.00m
Kike García,Spain,Spain,35,€1.00m
Jóhann Berg Gudmundsson,Iceland,Iceland,34,€1.00m
Salomón Rondón,Venezuela,Venezuela,35,€1.00m
Pedro,Spain,Spain,37,€1.00m
