Player,Club,Nation,Age,Market Value
David de Gea,Spain,Spain,34,€5.00m
Yann Sommer,Switzerland,Switzerland,35,€5.00m
Kevin Trapp,Germany,Germany,34,€4.00m
Manuel Neuer,Germany,Germany,38,€4.00m
Jason Steele,England,England,34,€3.50m
Lars Unnerstall,Germany,Germany,34,€3.50m
Péter Gulácsi,Hungary,Hungary,34,€3.00m
Oliver Baumann,Germany,Germany,34,€3.00m
Wojciech Szczęsny,Poland,Poland,34,€3.00m
Dénes Dibusz,Hungary,Hungary,34,€2.50m
Neto,Brazil,Brazil,35,€2.50m
Pietro Terracciano,Italy,Italy,34,€2.50m
Roman Bürki,Switzerland,Switzerland,34,€2.50m
Lukas Hradecky,Finland,Finland,35,€2.50m
Anthony Moris,Luxembourg,Luxembourg,34,€2.00m
Simon Mignolet,Belgium,Belgium,36,€2.00m
Mohamed El Shenawy,Egypt,Egypt,35,€1.80m
Weverton,Brazil,Brazil,36,€1.80m
Andre Blake,Jamaica,Jamaica,34,€1.50m
Everson,Brazil,Brazil,34,€1.50m
Robin Olsen,Sweden,Sweden,34,€1.50m
Camilo Vargas,Colombia,Colombia,35,€1.50m
Anthony Lopes,Portugal,Portugal,34,€1.50m
Ørjan Nyland,Norway,Norway,34,€1.40m
Pedro Gallese,Peru,Peru,34,€1.20m
Fraser Forster,England,England,36,€1.20m
Mert Günok,Türkiye,Türkiye,35,€1.20m
Hugo Lloris,France,France,37,€1.20m
Fernando Muslera,Uruguay,Uruguay,38,€1.10m
Helton Leite,Brazil,Brazil,34,€1.00m
Jasper Cillessen,Netherlands,Netherlands,35,€1.00m
Sean Johnson,United States,United States,35,€1.00m
Franco Armani,Argentina,Argentina,38,€1.00m
Keylor Navas,Costa Rica,Costa Rica,37,€1.00m
Martin Dúbravka,Slovakia,Slovakia,35,€1.00m
Rui Patrício,Portugal,Portugal,36,€1.00m
Guillermo Ochoa,Mexico,Mexico,39,€1.00m
Igor Akinfeev,Russia,Russia,38,€1.00m
Anas Zniti,Morocco,Morocco,36,€900k
Munir El Kajoui,Morocco,Morocco,35,€850k
Jaume Doménech,Spain,Spain,34,€800k
Santos,Brazil,Brazil,34,€800k
Hugo González,Mexico,Mexico,34,€800k
Vicente Guaita,Spain,Spain,37,€800k
Gabriel Arias,Chile,Chile,37,€800k
Seung-gyu Kim,"Korea, South","Korea, South",34,€750k
Rafael,Brazil,Brazil,35,€750k
Ibrahim Sehic,Bosnia-Herzegovina,Bosnia-Herzegovina,36,€750k
Kasper Schmeichel,Denmark,Denmark,38,€750k
Miguel Jiménez,Mexico,Mexico,34,€700k
