Player,Club,Nation,Age,Market Value
İlkay Gündoğan,Germany,Germany,34,€12.00m
Benjamin André,France,France,34,€6.00m
Henrikh Mkhitaryan,Armenia,Armenia,35,€6.00m
Luka Modric,Croatia,Croatia,39,€6.00m
Marco Reus,Germany,Germany,35,€5.00m
Jordan Henderson,England,England,34,€4.00m
Georginio Wijnaldum,Netherlands,Netherlands,34,€4.00m
Kevin Kampl,Slovenia,Slovenia,34,€3.50m
Ivan Rakitic,Croatia,Croatia,36,€3.50m
Rémy Cabella,France,France,34,€3.00m
Giacomo Bonaventura,Italy,Italy,35,€3.00m
Miralem Pjanic,Bosnia-Herzegovina,Bosnia-Herzegovina,34,€3.00m
Nemanja Matic,Serbia,Serbia,36,€2.50m
Taras Stepanenko,Ukraine,Ukraine,35,€2.50m
Dani Parejo,Spain,Spain,35,€2.50m
Grzegorz Krychowiak,Poland,Poland,34,€2.50m
Idrissa Gueye,Senegal,Senegal,35,€2.00m
Héctor Herrera,Mexico,Mexico,34,€2.00m
Ander Herrera,Spain,Spain,35,€2.00m
Sergio Busquets,Spain,Spain,36,€2.00m
Darlington Nagbe,United States,United States,34,€1.80m
Everton Ribeiro,Brazil,Brazil,35,€1.80m
Nacho Fernández,Argentina,Argentina,34,€1.80m
Dani García,Spain,Spain,34,€1.50m
Darko Lazović,Serbia,Serbia,34,€1.50m
Federico Lértora,Argentina,Argentina,34,€1.30m
Éver Banega,Argentina,Argentina,36,€1.30m
Younès Belhanda,Morocco,Morocco,34,€1.20m
Mateusz Klich,Poland,Poland,34,€1.20m
Charles Aránguiz,Chile,Chile,35,€1.20m
Nicolás Lodeiro,Uruguay,Uruguay,35,€1.20m
Rafael Carioca,Brazil,Brazil,35,€1.20m
Asier Illarramendi,Spain,Spain,34,€1.20m
Dani Rodríguez,Spain,Spain,36,€1.00m
Juan Cuadrado,Colombia,Colombia,36,€1.00m
Iván Marcone,Argentina,Argentina,34,€1.00m
Franco Vázquez,Argentina,Argentina,35,€1.00m
Nicolas Höfler,Germany,Germany,34,€1.00m
Fernando,Brazil,Brazil,37,€1.00m
Moussa Sissoko,France,France,35,€1.00m
Javi Martínez,Spain,Spain,36,€1.00m
Adam Lallana,England,England,36,€1.00m
Dimitri Payet,France,France,37,€1.00m
Oscar Trejo,Argentina,Argentina,36,€1.00m
Andrés Guardado,Mexico,Mexico,38,€1.00m
James Milner,England,England,38,€1.00m
Guélor Kanga,Gabon,Gabon,34,€900k
Fayçal Fajr,Morocco,Morocco,36,€900k
Edenilson,Brazil,Brazil,34,€900k
Eduardo,Brazil,Brazil,35,€900k
